Date,Location,Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,Humidity9am,Pressure9am,Cloud9am,RainToday,RainTomorrow,State,AvgTemp,TempDiff,RainfallTomorrow,delta_Rainfall,delta_Evaporation,delta_WindGustSpeed,delta_Humidity9am,delta_Pressure9am,delta_Cloud9am,delta_AvgTemp,delta_TempDiff
2008-12-01,AliceSprings,0.0,11.2,WNW,87.0,NNE,NE,17.0,1010.5,0.0,No,Yes,Northern Territory,31.2,18.0,1.2,,,,,,,,
2008-12-02,AliceSprings,1.2,9.0,NNW,41.0,NNW,S,18.0,1009.3,2.0,Yes,No,Northern Territory,32.7,18.1,0.0,1.2,-2.1999999999999993,-46.0,1.0,-1.2000000000000455,2.0,1.5000000000000036,0.10000000000000142
2008-12-03,AliceSprings,0.0,11.6,NNW,48.0,ENE,N,17.0,1006.3,0.0,No,No,Northern Territory,34.8,18.0,0.0,-1.2,2.5999999999999996,7.0,-1.0,-3.0,-2.0,2.0999999999999943,-0.10000000000000142
2008-12-04,AliceSprings,0.0,16.0,WNW,72.0,SSW,W,29.0,1008.7,3.0,No,No,Northern Territory,33.5,15.8,0.2,0.0,4.4,24.0,12.0,2.400000000000091,3.0,-1.2999999999999972,-2.1999999999999993
2008-12-05,AliceSprings,0.2,12.2,SSW,46.0,S,S,58.0,1014.0,7.0,No,Yes,Northern Territory,28.424999999999997,9.0,2.6,0.2,-3.8000000000000007,-26.0,29.0,5.2999999999999545,4.0,-5.075000000000003,-6.800000000000001
2008-12-06,AliceSprings,2.6,8.4,SSE,35.0,SSW,N,90.0,1014.3,8.0,Yes,Yes,Northern Territory,22.9,3.400000000000002,4.8,2.4,-3.799999999999999,-11.0,32.0,0.2999999999999545,1.0,-5.524999999999999,-5.599999999999998
2008-12-07,AliceSprings,4.8,4.6,N,31.0,SSW,NNW,70.0,1011.4,7.0,Yes,No,Northern Territory,23.974999999999998,4.800000000000001,0.6,2.1999999999999997,-3.8000000000000007,-4.0,-20.0,-2.8999999999999773,-1.0,1.0749999999999993,1.3999999999999986
2008-12-08,AliceSprings,0.6,3.0,E,26.0,ENE,NNW,63.0,1010.9,3.0,No,No,Northern Territory,27.6,16.900000000000002,0.0,-4.2,-1.5999999999999996,-5.0,-7.0,-0.5,-4.0,3.6250000000000036,12.100000000000001
2008-12-09,AliceSprings,0.0,8.0,S,50.0,N,WNW,40.0,1006.2,3.0,No,No,Northern Territory,33.475,14.600000000000001,0.0,-0.6,5.0,24.0,-23.0,-4.699999999999932,0.0,5.875,-2.3000000000000007
2008-12-10,AliceSprings,0.0,11.8,W,54.0,NNE,WSW,38.0,1005.9,4.0,No,No,Northern Territory,31.575000000000003,13.3,0.0,0.0,3.8000000000000007,4.0,-2.0,-0.3000000000000682,1.0,-1.8999999999999986,-1.3000000000000007
2008-12-11,AliceSprings,0.0,12.0,NW,63.0,NNW,WSW,50.0,1005.6,7.0,No,Yes,Northern Territory,28.6,7.299999999999997,14.4,0.0,0.1999999999999993,9.0,12.0,-0.2999999999999545,3.0,-2.9750000000000014,-6.0000000000000036
2008-12-12,AliceSprings,14.4,3.6,NW,41.0,NNW,WSW,88.0,1005.2,6.0,Yes,No,Northern Territory,26.6,11.500000000000004,0.0,14.4,-8.4,-22.0,38.0,-0.39999999999997726,-1.0,-2.0,4.200000000000006
2008-12-13,AliceSprings,0.0,9.6,S,37.0,S,S,55.0,1012.9,3.0,No,No,Northern Territory,22.450000000000003,10.0,0.0,-14.4,6.0,-4.0,-33.0,7.699999999999932,-3.0,-4.149999999999999,-1.5000000000000036
2008-12-14,AliceSprings,0.0,9.0,SSE,46.0,SE,SSE,37.0,1014.1,0.0,No,No,Northern Territory,21.75,13.100000000000001,0.0,0.0,-0.5999999999999996,9.0,-18.0,1.2000000000000455,-3.0,-0.7000000000000028,3.1000000000000014
2008-12-15,AliceSprings,0.0,10.4,ESE,35.0,ESE,SE,30.0,1013.7,0.0,No,No,Northern Territory,22.65,15.4,0.0,0.0,1.4000000000000004,-11.0,-7.0,-0.39999999999997726,0.0,0.8999999999999986,2.299999999999999
2008-12-16,AliceSprings,0.0,10.0,ENE,31.0,E,SW,21.0,1011.9,0.0,No,No,Northern Territory,25.275000000000002,18.1,0.0,0.0,-0.40000000000000036,-4.0,-9.0,-1.8000000000000682,0.0,2.6250000000000036,2.700000000000001
2008-12-17,AliceSprings,0.0,9.8,W,35.0,NE,W,18.0,1009.3,0.0,No,No,Northern Territory,29.3,20.599999999999998,0.0,0.0,-0.1999999999999993,4.0,-3.0,-2.6000000000000227,0.0,4.024999999999999,2.4999999999999964
2008-12-18,AliceSprings,0.0,10.6,S,41.0,SSW,SSW,21.0,1007.4,3.0,No,No,Northern Territory,30.925,17.299999999999997,0.0,0.0,0.7999999999999989,6.0,3.0,-1.8999999999999773,3.0,1.625,-3.3000000000000007
2008-12-19,AliceSprings,0.0,14.6,ESE,41.0,ESE,SE,32.0,1010.1,6.0,No,No,Northern Territory,30.15,10.700000000000003,0.0,0.0,4.0,0.0,11.0,2.7000000000000455,3.0,-0.7750000000000021,-6.599999999999994
2008-12-20,AliceSprings,0.0,13.4,E,41.0,ESE,ESE,20.0,1010.9,2.0,No,No,Northern Territory,28.975,15.800000000000004,0.0,0.0,-1.1999999999999993,0.0,-12.0,0.7999999999999545,-4.0,-1.1749999999999972,5.100000000000001
2008-12-21,AliceSprings,0.0,12.0,SE,30.0,E,SW,11.0,1007.8,3.0,No,No,Northern Territory,32.125,19.4,0.0,0.0,-1.4000000000000004,-11.0,-9.0,-3.1000000000000227,1.0,3.1499999999999986,3.5999999999999943
2008-12-22,AliceSprings,0.0,13.2,E,33.0,NE,ENE,16.0,1007.7,2.0,No,No,Northern Territory,33.2,18.4,0.0,0.0,1.1999999999999993,3.0,5.0,-0.09999999999990905,-1.0,1.0750000000000028,-1.0
2008-12-23,AliceSprings,0.0,13.8,ENE,48.0,NE,ESE,12.0,1007.9,6.0,No,No,Northern Territory,33.5,17.799999999999997,0.0,0.0,0.6000000000000014,15.0,-4.0,0.1999999999999318,4.0,0.29999999999999716,-0.6000000000000014
2008-12-24,AliceSprings,0.0,19.2,SE,37.0,ESE,S,17.0,1009.8,6.0,No,No,Northern Territory,32.15,16.0,0.0,0.0,5.399999999999999,-11.0,5.0,1.8999999999999773,0.0,-1.3500000000000014,-1.7999999999999972
2008-12-25,AliceSprings,0.0,14.0,ESE,30.0,E,S,30.0,1010.2,6.0,No,No,Northern Territory,32.699999999999996,10.400000000000002,0.0,0.0,-5.199999999999999,-7.0,13.0,0.40000000000009095,0.0,0.5499999999999972,-5.599999999999998
2008-12-26,AliceSprings,0.0,11.2,N,69.0,E,SW,21.0,1006.3,6.0,No,Yes,Northern Territory,31.675,12.099999999999998,21.4,0.0,-2.8000000000000007,39.0,-9.0,-3.900000000000091,0.0,-1.024999999999995,1.6999999999999957
2008-12-27,AliceSprings,21.4,9.2,SW,22.0,E,N,77.0,1009.0,7.0,Yes,No,Northern Territory,27.175,8.399999999999999,0.2,21.4,-2.0,-47.0,56.0,2.7000000000000455,1.0,-4.5,-3.6999999999999993
2008-12-28,AliceSprings,0.2,5.2,NNE,46.0,ESE,SE,71.0,1007.3,7.0,No,Yes,Northern Territory,29.124999999999996,10.7,9.4,-21.2,-3.999999999999999,24.0,-6.0,-1.7000000000000455,0.0,1.9499999999999957,2.3000000000000007
2008-12-29,AliceSprings,9.4,5.2,SE,39.0,SE,E,65.0,1008.5,4.0,Yes,No,Northern Territory,28.05,10.5,0.0,9.200000000000001,0.0,-7.0,-6.0,1.2000000000000455,-3.0,-1.0749999999999957,-0.1999999999999993
2008-12-30,AliceSprings,0.0,10.8,ESE,37.0,ESE,SE,21.0,1009.6,3.0,No,No,Northern Territory,27.450000000000003,14.000000000000004,0.0,-9.4,5.6000000000000005,-2.0,-44.0,1.1000000000000227,-1.0,-0.5999999999999979,3.5000000000000036
2008-12-31,AliceSprings,0.0,11.8,ESE,37.0,E,ESE,18.0,1007.3,2.0,No,No,Northern Territory,28.549999999999997,16.5,0.0,0.0,1.0,0.0,-3.0,-2.300000000000068,-1.0,1.0999999999999943,2.4999999999999964
2009-01-01,AliceSprings,0.0,10.6,SE,54.0,E,ESE,18.0,1005.8,5.0,No,No,Northern Territory,30.55,13.8,0.0,0.0,-1.200000000000001,17.0,0.0,-1.5,3.0,2.0000000000000036,-2.6999999999999993
2009-01-02,AliceSprings,0.0,16.4,ESE,50.0,SE,SE,20.0,1009.2,2.0,No,No,Northern Territory,29.425,12.199999999999996,0.0,0.0,5.799999999999999,-4.0,2.0,3.400000000000091,-3.0,-1.125,-1.600000000000005
2009-01-03,AliceSprings,0.0,15.4,SE,54.0,SE,ESE,17.0,1009.3,0.0,No,No,Northern Territory,28.375,16.1,0.0,0.0,-0.9999999999999982,4.0,-3.0,0.09999999999990905,-2.0,-1.0500000000000007,3.9000000000000057
2009-01-04,AliceSprings,0.0,14.2,SE,57.0,ESE,SE,38.0,1007.7,2.0,No,No,Northern Territory,30.525,14.600000000000001,0.0,0.0,-1.200000000000001,3.0,21.0,-1.599999999999909,2.0,2.1499999999999986,-1.5
2009-01-05,AliceSprings,0.0,14.6,ESE,57.0,SE,SE,38.0,1007.3,1.0,No,No,Northern Territory,30.625,15.899999999999999,0.0,0.0,0.40000000000000036,0.0,0.0,-0.40000000000009095,-1.0,0.10000000000000142,1.2999999999999972
2009-01-06,AliceSprings,0.0,14.6,SSE,52.0,SE,SSE,44.0,1006.4,2.0,No,No,Northern Territory,31.074999999999996,13.899999999999999,0.0,0.0,0.0,-5.0,6.0,-0.8999999999999773,1.0,0.44999999999999574,-2.0
2009-01-07,AliceSprings,0.0,12.0,S,59.0,SSW,SE,65.0,1007.7,4.0,No,No,Northern Territory,29.3,14.600000000000001,0.0,0.0,-2.5999999999999996,7.0,21.0,1.3000000000000682,2.0,-1.774999999999995,0.7000000000000028
2009-01-08,AliceSprings,0.0,11.0,SE,56.0,ESE,SE,63.0,1009.4,4.0,No,No,Northern Territory,29.175,12.200000000000003,0.0,0.0,-1.0,-3.0,-2.0,1.6999999999999318,0.0,-0.125,-2.3999999999999986
2009-01-09,AliceSprings,0.0,14.8,SSE,46.0,SE,SE,25.0,1009.3,0.0,No,No,Northern Territory,30.425,15.000000000000004,0.0,0.0,3.8000000000000007,-10.0,-38.0,-0.10000000000002274,-4.0,1.25,2.8000000000000007
2009-01-10,AliceSprings,0.0,14.8,SSE,41.0,E,E,13.0,1006.6,0.0,No,No,Northern Territory,31.225,16.5,0.0,0.0,0.0,-5.0,-12.0,-2.699999999999932,0.0,0.8000000000000007,1.4999999999999964
2009-01-11,AliceSprings,0.0,15.0,SSE,44.0,ESE,S,11.0,1005.9,0.0,No,No,Northern Territory,30.425,19.599999999999998,0.0,0.0,0.1999999999999993,3.0,-2.0,-0.7000000000000455,0.0,-0.8000000000000007,3.099999999999998
